HYRIV_ID,NEXT_DOWN,MAIN_RIV,LENGTH_KM,DIST_DN_KM,DIST_UP_KM,CATCH_SKM,UPLAND_SKM,ENDORHEIC,DIS_AV_CMS,ORD_STRA,ORD_CLAS,ORD_FLOW,HYBAS_L12
40366389,40367246,40363583,2.37,50.1,36.4,7.78,157.4,1,0.000,2,1,10,4120473810
40366390,40365837,40363583,2.93,17.3,69.2,5.96,895.6,1,0.000,4,1,10,4120472000
40366391,40366791,40367030,0.69,66.2,5.7,10.93,10.9,1,0.000,1,4,10,4120470870
40366392,40366149,40360317,1.17,36.9,19.2,1.16,41.8,1,0.000,2,4,10,4120471150
40366393,40366149,40360317,4.84,36.9,51.1,7.45,328.5,1,0.000,3,3,10,4120471150
40366394,40365606,40365605,4.44,21.9,11.6,22.69,22.7,1,0.000,1,2,10,4120471300
40366395,40364169,40364168,9.64,3.2,15.8,31.79,31.8,1,0.000,1,1,10,4120066960
40366471,40366250,40276558,4.32,547.6,7.7,28.99,29.0,1,0.013,1,4,8,4120472580
40366472,40366379,40276558,0.46,538.8,209.9,0.66,6645.9,1,7.833,4,2,6,4120472770
40366473,40362969,40276558,16.50,491.5,20.8,40.06,40.1,1,0.018,1,4,8,4121316320
40366474,40364740,40276558,8.41,471.7,24.6,14.24,65.8,1,0.024,2,4,8,4120469890
40366475,40365360,40276558,5.49,471.1,47.2,8.45,211.6,1,0.053,2,4,8,4120465060
40366476,40366140,40276558,1.93,443.6,10.5,11.76,11.8,1,0.004,1,2,9,4120472170
40366477,40366253,40276558,4.31,464.2,12.3,27.65,27.7,1,0.015,1,4,8,4121317600
40366478,0,40366478,3.09,0.0,18.7,6.13,76.9,1,0.021,2,2,8,4120065950
40366479,40366480,40364888,18.81,9.0,23.2,64.20,64.2,1,0.000,1,3,10,4121318040
40366480,40365836,40364888,3.75,5.2,46.4,6.96,713.3,1,0.000,3,2,10,4120471260
40366481,40366259,40364888,1.64,16.8,6.8,13.42,13.4,1,0.000,1,3,10,4120470690
40366482,40365371,40364888,5.36,50.1,33.6,9.77,133.5,1,0.000,2,2,10,4120471780
40366483,40366482,40364888,0.54,55.3,6.3,12.09,12.1,1,0.000,1,3,10,4120471780
40366484,40367776,40367129,4.06,15.5,9.5,19.04,19.0,1,0.000,1,2,10,4120473310
40366485,40367776,40367129,2.10,15.5,39.5,2.15,241.4,1,0.000,3,1,10,4120473310
40366486,40364895,40367030,10.98,44.7,16.6,37.42,37.4,1,0.000,1,2,10,4120471460
40366487,40366585,40367031,1.05,3.8,31.8,0.50,154.3,1,0.000,3,4,10,4120472710
40366488,40366146,40360317,2.35,45.3,77.6,4.31,1138.5,1,0.000,4,2,10,4120472330
40366489,40362595,40360317,17.95,14.6,150.2,41.37,2285.1,1,0.000,4,2,10,4120468920
40366490,40366392,40360317,1.12,38.1,9.0,11.76,11.8,1,0.000,1,5,10,4120471150
40366491,40366054,40417973,5.38,2695.5,12.9,19.05,19.0,0,0.003,1,2,9,4120468940
40366566,40366472,40276558,1.24,539.2,6.1,11.60,11.6,1,0.005,1,3,9,4120472770
40366567,40365476,40276558,7.27,438.8,94.8,10.76,735.0,1,0.434,3,2,7,4120467980
40366568,40366382,40276558,1.16,445.3,7.7,12.59,12.6,1,0.004,1,4,9,4120472160
40366569,40365703,40276558,6.16,442.9,13.1,26.83,26.8,1,0.012,1,3,8,4120471430
40366570,40366682,40276558,1.84,532.5,6.9,17.55,17.6,1,0.003,1,5,9,4120474230
40366571,40366682,40276558,4.64,532.5,9.1,22.68,22.7,1,0.003,1,4,9,4120474230
40366572,40362185,40361949,22.81,9.1,40.1,74.33,212.9,1,0.010,3,2,8,4120468550
40366573,40366043,40365944,6.74,12.8,32.9,28.32,140.4,1,0.016,2,2,8,4120472310
40366574,0,40366574,1.89,0.0,24.9,2.48,118.2,1,0.063,2,1,8,4120065950
40366575,40364883,40291987,10.25,401.6,16.2,41.07,41.1,1,0.004,1,2,9,4121317190
40366576,40366480,40364888,0.58,9.0,42.7,1.16,642.2,1,0.024,3,2,8,4121318040
40366577,40366259,40364888,1.39,16.9,58.4,1.82,505.5,1,0.009,3,2,9,4120470690
40366578,40364891,40364888,8.57,44.3,16.7,30.48,30.5,1,0.000,1,2,10,4120467810
40366579,40366790,40367129,7.67,5.4,14.1,25.98,26.0,1,0.000,1,3,10,4120473030
40366580,40366790,40367129,17.83,5.6,41.1,51.45,187.0,1,0.000,2,2,10,4120473030
40366581,40367030,40367030,9.16,3.1,113.1,48.68,2848.1,1,0.000,4,1,10,4120472910
40366582,40367030,40367030,4.09,3.2,64.1,6.29,448.2,1,0.000,3,2,10,4120472820
40366583,40367031,40367031,2.51,2.6,8.0,15.73,15.7,1,0.000,1,4,10,4120473330
40366584,40367031,40367031,0.36,2.4,63.7,0.83,898.2,1,0.000,4,3,10,4120473330
40366585,40366584,40367031,0.94,3.0,63.2,1.32,877.2,1,0.000,4,3,10,4120473330
40366586,40366585,40367031,7.09,3.7,62.4,34.62,721.6,1,0.000,3,3,10,4120472830
40366587,40366488,40360317,7.71,47.7,12.6,52.32,52.3,1,0.000,1,3,10,4120472330
40366588,40366489,40360317,1.30,32.6,23.1,1.49,85.6,1,0.000,2,3,10,4120468920
40366589,40366588,40360317,0.54,33.9,7.7,12.76,12.8,1,0.000,1,4,10,4120468920
40366590,40365949,40365950,3.19,3.7,14.1,14.42,14.4,1,0.000,1,3,10,4120471890
40366680,40366681,40340055,1.25,166.6,7.1,14.58,14.6,1,0.005,1,2,9,4121317630
40366681,40365692,40340055,5.01,161.6,35.3,29.64,284.6,1,0.109,3,1,7,4121317630
40366682,40367641,40276558,0.46,531.8,9.7,0.66,40.9,1,0.006,2,4,9,4120474230
40366683,40367641,40276558,7.64,531.8,20.6,25.99,80.1,1,0.013,2,3,8,4120474230
40366684,40366572,40361949,4.31,31.7,11.4,29.16,29.2,1,0.006,1,3,9,4120468550
40366685,40366577,40364888,1.36,18.3,8.6,12.10,12.1,1,0.001,1,3,9,4120470690
40366686,40364748,40363583,12.48,7.4,16.8,38.75,38.8,1,0.000,1,2,10,4120469710
40366687,40365020,40367030,13.43,21.3,20.1,50.35,50.4,1,0.000,1,3,10,4120471020
40366688,0,40366688,5.48,0.0,30.0,12.09,84.6,1,0.000,2,3,10,4120056450
40366689,40366054,40417973,3.51,2695.7,2773.4,8.45,313464.1,0,742.857,7,1,4,4120468940
40366778,40365822,40340055,4.90,115.1,31.7,18.55,286.8,1,0.126,3,2,7,4121317690
40366779,40358984,40276558,38.05,464.4,122.7,100.67,1656.8,1,0.856,4,3,7,4120464310
